#---Properties and values from: http://dbpedia.org/resource/Leipzig
Property	Value
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Friedrich_Kraner
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Rudolf_Kittel
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Louis_Théodore_Gouvy
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Paul_Mendelssohn_Bartholdy
http://dbpedia.org/property/location	http://dbpedia.org/resource/2016–17_1._FSV_Mainz_05_season
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/John_Heyman
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Hülsemann
http://dbpedia.org/ontology/assembly	http://dbpedia.org/resource/BMW_1_Series_(E87)
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Maria_Simon
http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Josef_A._Käs
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Alexander_Uhlig
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1966_FIFA_World_Cup_qualification_(UEFA_–_Group_6)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Georg_Miske
http://dbpedia.org/ontology/assembly	http://dbpedia.org/resource/Porsche_Panamera__Second_generation_971__1
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Arthur_Heffter
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1983–84_UEFA_Cup
http://dbpedia.org/ontology/location	http://dbpedia.org/resource/Forum_Zeitgenössischer_Musik_Leipzig
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Nora_Reiche
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Friedrich_Rosen
http://dbpedia.org/ontology/premierePlace	http://dbpedia.org/resource/Baal_(play)
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Johann_Christoph_Friedrich_Bach
http://dbpedia.org/property/location	http://dbpedia.org/resource/Belgium_national_football_team_results_–_1980s
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johannes_Volkelt
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Gustav_Heinrich_Wiedemann
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Torsten_Amft
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Raymond_J._Bowman
http://dbpedia.org/property/deathPlace	http://dbpedia.org/resource/Raymond_J._Bowman
