"EntityType"	"totalSameAs"
"http://www.wikidata.org/entity/Q1656682"	350153
"http://dbpedia.org/class/yago/MilitaryOfficer110317007"	350127
"http://dbpedia.org/ontology/TelevisionShow"	347904
"http://dbpedia.org/ontology/SocietalEvent"	342888
"http://dbpedia.org/ontology/Station"	341819
"http://dbpedia.org/class/yago/Idea105833840"	337464
"http://dbpedia.org/ontology/Town"	337081
"http://dbpedia.org/class/yago/Writing106362953"	336070
"http://dbpedia.org/ontology/Single"	328093
"http://www.wikidata.org/entity/Q3957"	323802
"http://dbpedia.org/ontology/WrittenWork"	320470
"http://dbpedia.org/ontology/Plant"	320217
"http://dbpedia.org/ontology/City"	320049
"http://dbpedia.org/class/yago/BodyOfWater109225146"	315459
"http://dbpedia.org/class/yago/Negotiator110351874"	315381
"http://dbpedia.org/class/yago/Representative110522035"	314023
"http://schema.org/Product"	313505
"http://dbpedia.org/class/yago/Concept105835747"	307986
"http://dbpedia.org/ontology/MeanOfTransportation"	303929
"http://dbpedia.org/class/yago/Singer110599806"	303341
"http://dbpedia.org/class/yago/Holder110180178"	301512
"http://dbpedia.org/class/yago/Owner110389398"	301512
"http://dbpedia.org/class/yago/EducationalInstitution108276342"	299651
"http://dbpedia.org/ontology/Book"	299535
"http://dbpedia.org/class/yago/Officeholder110371450"	298161
"http://www.wikidata.org/entity/Q756"	296370
"http://dbpedia.org/class/yago/Association108049401"	294673
"http://dbpedia.org/ontology/Software"	294166
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact"	291239
"http://dbpedia.org/class/yago/Medalist110305062"	285582
"http://dbpedia.org/class/yago/Winner110782940"	285582
"http://dbpedia.org/class/yago/GeologicalFormation109287968"	276672
"http://dbpedia.org/class/yago/Educator110045713"	267478
"http://dbpedia.org/class/yago/Peer109626238"	260069
"http://dbpedia.org/class/yago/Matter100020827"	260063
"http://dbpedia.org/class/yago/HeadOfState110164747"	259707
"http://dbpedia.org/class/yago/Season115239579"	256072
"http://dbpedia.org/ontology/SportsTeam"	254978
"http://dbpedia.org/class/yago/Chordate101466257"	254468
"http://dbpedia.org/class/yago/Vertebrate101471682"	253915
"http://dbpedia.org/class/yago/Politician110451263"	251524
"http://dbpedia.org/ontology/EducationalInstitution"	251207
"http://www.wikidata.org/entity/Q134556"	248849
"http://dbpedia.org/class/yago/Work104599396"	248849
"http://schema.org/EducationalOrganization"	248563
"http://dbpedia.org/class/yago/Associate109816771"	248545
"http://dbpedia.org/class/yago/Publication106589574"	247578
"http://dbpedia.org/class/yago/Conveyance103100490"	245352
"http://dbpedia.org/class/yago/AuditoryCommunication107109019"	242833
"http://dbpedia.org/class/yago/Aristocrat109807754"	239916
"http://dbpedia.org/class/yago/Attribute100024264"	238912
"http://www.wikidata.org/entity/Q515"	237721
"http://schema.org/City"	237721
"http://dbpedia.org/class/yago/GroupAction101080366"	236841
"http://dbpedia.org/ontology/AdministrativeRegion"	236339
"http://dbpedia.org/class/yago/Diversion100426928"	236153
"http://dbpedia.org/class/yago/Vehicle104524313"	233809
"http://dbpedia.org/class/yago/Device103183080"	232985
"http://dbpedia.org/ontology/BodyOfWater"	230800
"http://dbpedia.org/class/yago/Absentee109757653"	230053
"http://dbpedia.org/class/yago/Exile110071332"	230053
"http://dbpedia.org/class/yago/Executive110069645"	229974
"http://dbpedia.org/class/yago/Music107020895"	228235
"http://schema.org/BodyOfWater"	225695
"http://dbpedia.org/class/yago/Composer109947232"	224306
"http://dbpedia.org/class/yago/Message106598915"	222752
"http://dbpedia.org/class/yago/Actress109767700"	216398
"http://dbpedia.org/class/yago/LanguageUnit106284225"	214982
"http://dbpedia.org/class/yago/School108276720"	214809
"http://dbpedia.org/ontology/SportsEvent"	212305
"http://dbpedia.org/class/yago/WikicatEthnicGermanPeople"	211936
"http://dbpedia.org/class/yago/Club108227214"	208941
"http://dbpedia.org/ontology/Politician"	207437
"http://www.wikidata.org/entity/Q82955"	207097
"http://dbpedia.org/class/yago/Defender109614684"	205463
"http://dbpedia.org/class/yago/Preserver110466918"	205463
"http://schema.org/SportsTeam"	205083
"http://dbpedia.org/class/yago/WikicatActors"	202437
"http://schema.org/AdministrativeArea"	202068
"http://dbpedia.org/ontology/Region"	202068
"http://www.wikidata.org/entity/Q3455524"	202068
"http://dbpedia.org/class/yago/Migrant110314952"	201927
"http://dbpedia.org/ontology/Group"	201451
"http://dbpedia.org/class/yago/Expert109617867"	201303
"http://www.wikidata.org/entity/Q215380"	200445
"http://www.wikidata.org/entity/Q719456"	200420
"http://dbpedia.org/ontology/Writer"	198653
"http://dbpedia.org/class/yago/Emigrant110051975"	197912
"http://dbpedia.org/class/yago/WikicatWriters"	197561
"http://dbpedia.org/class/yago/Stream109448361"	196823
"http://www.wikidata.org/entity/Q36180"	196487
"http://dbpedia.org/ontology/School"	196255
"http://dbpedia.org/class/yago/Terminal104412901"	195849
"http://dbpedia.org/class/yago/River109411430"	193913
"http://dbpedia.org/class/yago/Director110014939"	193427
"http://www.wikidata.org/entity/Q15416"	192257
"http://dbpedia.org/class/yago/NaturalElevation109366317"	191995
"http://dbpedia.org/class/yago/Substance100019613"	191975
"http://dbpedia.org/class/yago/Action100037396"	191804
"http://dbpedia.org/ontology/SoccerClub"	190838
"http://dbpedia.org/class/yago/RailwayStation104049098"	190712
"http://dbpedia.org/ontology/River"	189134
"http://dbpedia.org/class/yago/BasketballPlayer109842047"	188508
"http://www.wikidata.org/entity/Q7397"	187835
"http://dbpedia.org/class/yago/SpiritualLeader109505153"	182100
"http://dbpedia.org/class/yago/WikicatEnglish-languageFilms"	180864
"http://dbpedia.org/class/yago/Ruler110541229"	179151
"http://dbpedia.org/ontology/FootballLeagueSeason"	178801
"http://dbpedia.org/class/yago/MaleAristocrat110285135"	178413
"http://dbpedia.org/class/yago/Invertebrate101905661"	177934
"http://dbpedia.org/class/yago/Colleague109935990"	177443
"http://dbpedia.org/class/yago/Clergyman109927451"	176364
"http://dbpedia.org/ontology/Ship"	175938
"http://dbpedia.org/class/yago/Enterprise108056231"	174640
"http://dbpedia.org/class/yago/Minister110320863"	172358
"http://dbpedia.org/ontology/MilitaryPerson"	171414
"http://dbpedia.org/class/yago/Painter110391653"	171251
"http://dbpedia.org/class/yago/Journalist110224578"	170056
"http://dbpedia.org/ontology/SportsSeason"	168693
"http://dbpedia.org/ontology/Scientist"	168557
"http://purl.org/ontology/bibo/Book"	168486
"http://www.wikidata.org/entity/Q571"	168486
"http://schema.org/Book"	168486
"http://dbpedia.org/class/yago/Change100191142"	166712
"http://umbel.org/umbel/rc/PopulatedPlace"	166395
"http://dbpedia.org/class/yago/Signal106791372"	166119
"http://dbpedia.org/class/yago/Business108061042"	165752
"http://dbpedia.org/class/yago/CommissionedOfficer109942970"	165696
"http://schema.org/SportsEvent"	165536
"http://www.wikidata.org/entity/Q901"	164506
"http://dbpedia.org/class/yago/Plant100017222"	163873
"http://dbpedia.org/class/yago/Producer110480018"	162749
"http://dbpedia.org/class/yago/FilmMaker110088390"	162749
"http://dbpedia.org/class/yago/Lawyer110249950"	162489
"http://dbpedia.org/class/yago/Material114580897"	161970
"http://dbpedia.org/class/yago/Academician109759069"	160209
"http://dbpedia.org/class/yago/Way104564698"	159799
"http://dbpedia.org/class/yago/Priest110470779"	159371
"http://dbpedia.org/ontology/Stream"	157346
"http://www.wikidata.org/entity/Q47521"	157070
"http://dbpedia.org/ontology/VideoGame"	156624
"http://dbpedia.org/ontology/SportsTeamSeason"	155806
"http://dbpedia.org/class/yago/Mountain109359803"	155384
"http://www.wikidata.org/entity/Q4022"	154653
"http://schema.org/RiverBodyOfWater"	154653
"http://dbpedia.org/class/yago/Poet110444194"	154538
"http://dbpedia.org/ontology/RouteOfTransportation"	152545
"http://dbpedia.org/class/yago/HockeyPlayer110179291"	152411
"http://dbpedia.org/class/yago/Arthropod101767661"	151154
"http://dbpedia.org/class/yago/Container103094503"	150998
"http://dbpedia.org/class/yago/Sovereign110628644"	150759
"http://www.wikidata.org/entity/Q11446"	150112
"http://dbpedia.org/ontology/Broadcaster"	150009
"http://dbpedia.org/ontology/University"	149274
"http://umbel.org/umbel/rc/Village"	149181
"http://dbpedia.org/class/yago/Unfortunate109630641"	148608
